Date,Close
3/2/2020 16:00:00,0.22
3/3/2020 16:00:00,0.24
3/4/2020 16:00:00,0.33
3/5/2020 16:00:00,0.38
3/6/2020 16:00:00,0.35
3/9/2020 16:00:00,0.33
3/10/2020 16:00:00,0.33
3/11/2020 16:00:00,0.35
3/12/2020 16:00:00,0.36
3/13/2020 16:00:00,0.36
3/16/2020 16:00:00,0.35
3/17/2020 16:00:00,0.33
3/19/2020 16:00:00,0.33
3/20/2020 16:00:00,0.29
3/23/2020 16:00:00,0.28
3/24/2020 16:00:00,0.31
3/25/2020 16:00:00,0.35
3/26/2020 16:00:00,0.37
3/27/2020 16:00:00,0.42
3/30/2020 16:00:00,0.5
3/31/2020 16:00:00,0.59
4/1/2020 16:00:00,0.57
4/2/2020 16:00:00,0.61
4/3/2020 16:00:00,0.77
4/6/2020 16:00:00,0.95
4/7/2020 16:00:00,0.82
4/8/2020 16:00:00,0.87
4/9/2020 16:00:00,0.86
4/13/2020 16:00:00,0.88
4/14/2020 16:00:00,0.82
4/15/2020 16:00:00,0.75
4/16/2020 16:00:00,0.78
4/17/2020 16:00:00,0.8
4/20/2020 16:00:00,0.78
4/21/2020 16:00:00,0.72
4/22/2020 16:00:00,0.76
4/23/2020 16:00:00,0.75
4/24/2020 16:00:00,0.81
4/27/2020 16:00:00,0.82
4/28/2020 16:00:00,0.83
4/29/2020 16:00:00,0.85
4/30/2020 16:00:00,0.89
5/1/2020 16:00:00,0.98
5/4/2020 16:00:00,1.05
5/5/2020 16:00:00,1.06
5/6/2020 16:00:00,0.96
5/7/2020 16:00:00,1.01
5/8/2020 16:00:00,0.97
5/11/2020 16:00:00,0.99
5/12/2020 16:00:00,1.16
5/13/2020 16:00:00,1.24
5/14/2020 16:00:00,1.46
5/15/2020 16:00:00,1.86
5/19/2020 16:00:00,2.38
5/20/2020 16:00:00,2.05
5/21/2020 16:00:00,1.85
5/22/2020 16:00:00,1.63
5/25/2020 16:00:00,1.88
5/26/2020 16:00:00,1.79
5/27/2020 16:00:00,1.77
5/28/2020 16:00:00,1.73
5/29/2020 16:00:00,1.84
