Date,Close
6/3/2019 16:00:00,0.11
6/4/2019 16:00:00,0.1
6/5/2019 16:00:00,0.11
6/7/2019 16:00:00,0.1
6/10/2019 16:00:00,0.1
6/11/2019 16:00:00,0.1
6/12/2019 16:00:00,0.1
6/13/2019 16:00:00,0.09
6/14/2019 16:00:00,0.09
6/17/2019 16:00:00,0.1
6/18/2019 16:00:00,0.1
6/19/2019 16:00:00,0.1
6/20/2019 16:00:00,0.1
6/21/2019 16:00:00,0.1
6/24/2019 16:00:00,0.1
6/25/2019 16:00:00,0.1
6/26/2019 16:00:00,0.09
6/27/2019 16:00:00,0.09
6/28/2019 16:00:00,0.1
7/2/2019 16:00:00,0.1
7/3/2019 16:00:00,0.09
7/4/2019 16:00:00,0.09
7/5/2019 16:00:00,0.09
7/8/2019 16:00:00,0.09
7/9/2019 16:00:00,0.09
7/10/2019 16:00:00,0.09
7/11/2019 16:00:00,0.08
7/12/2019 16:00:00,0.08
7/15/2019 16:00:00,0.08
7/16/2019 16:00:00,0.08
7/17/2019 16:00:00,0.08
7/18/2019 16:00:00,0.08
7/19/2019 16:00:00,0.07
7/22/2019 16:00:00,0.08
7/23/2019 16:00:00,0.09
7/24/2019 16:00:00,0.09
7/25/2019 16:00:00,0.09
7/29/2019 16:00:00,0.09
7/30/2019 16:00:00,0.08
7/31/2019 16:00:00,0.08
8/1/2019 16:00:00,0.08
8/2/2019 16:00:00,0.07
8/6/2019 16:00:00,0.07
8/7/2019 16:00:00,0.07
8/8/2019 16:00:00,0.07
8/9/2019 16:00:00,0.07
8/12/2019 16:00:00,0.07
8/13/2019 16:00:00,0.06
8/14/2019 16:00:00,0.06
8/15/2019 16:00:00,0.06
8/16/2019 16:00:00,0.06
8/19/2019 16:00:00,0.06
8/20/2019 16:00:00,0.05
8/21/2019 16:00:00,0.06
8/23/2019 16:00:00,0.06
8/26/2019 16:00:00,0.05
8/27/2019 16:00:00,0.06
8/28/2019 16:00:00,0.05
8/29/2019 16:00:00,0.06
8/30/2019 16:00:00,0.05
9/3/2019 16:00:00,0.06
9/4/2019 16:00:00,0.06
9/6/2019 16:00:00,0.05
9/9/2019 16:00:00,0.05
9/10/2019 16:00:00,0.06
9/11/2019 16:00:00,0.07
9/12/2019 16:00:00,0.07
9/16/2019 16:00:00,0.07
9/17/2019 16:00:00,0.07
9/18/2019 16:00:00,0.07
9/20/2019 16:00:00,0.06
9/23/2019 16:00:00,0.06
9/24/2019 16:00:00,0.05
9/25/2019 16:00:00,0.06
9/26/2019 16:00:00,0.05
9/27/2019 16:00:00,0.06
9/30/2019 16:00:00,0.06
10/1/2019 16:00:00,0.05
10/2/2019 16:00:00,0.05
10/3/2019 16:00:00,0.05
10/4/2019 16:00:00,0.05
10/7/2019 16:00:00,0.06
10/8/2019 16:00:00,0.06
10/9/2019 16:00:00,0.06
10/10/2019 16:00:00,0.05
10/11/2019 16:00:00,0.05
10/15/2019 16:00:00,0.05
10/16/2019 16:00:00,0.06
10/18/2019 16:00:00,0.06
10/23/2019 16:00:00,0.05
10/24/2019 16:00:00,0.05
10/25/2019 16:00:00,0.05
10/28/2019 16:00:00,0.05
10/29/2019 16:00:00,0.05
10/30/2019 16:00:00,0.04
11/1/2019 16:00:00,0.05
11/4/2019 16:00:00,0.04
11/5/2019 16:00:00,0.04
11/6/2019 16:00:00,0.04
11/7/2019 16:00:00,0.04
11/8/2019 16:00:00,0.04
11/11/2019 16:00:00,0.03
11/12/2019 16:00:00,0.04
11/13/2019 16:00:00,0.04
11/14/2019 16:00:00,0.03
11/15/2019 16:00:00,0.05
11/18/2019 16:00:00,0.04
11/19/2019 16:00:00,0.03
11/20/2019 16:00:00,0.03
11/21/2019 16:00:00,0.03
11/22/2019 16:00:00,0.03
11/25/2019 16:00:00,0.03
11/26/2019 16:00:00,0.03
11/27/2019 16:00:00,0.03
11/28/2019 16:00:00,0.04
11/29/2019 16:00:00,0.04
12/2/2019 16:00:00,0.03
12/3/2019 16:00:00,0.03
12/4/2019 16:00:00,0.03
12/5/2019 16:00:00,0.04
12/6/2019 16:00:00,0.03
12/10/2019 16:00:00,0.03
12/11/2019 16:00:00,0.04
12/12/2019 16:00:00,0.03
12/13/2019 16:00:00,0.03
12/16/2019 16:00:00,0.03
12/17/2019 16:00:00,0.04
12/18/2019 16:00:00,0.04
12/19/2019 16:00:00,0.04
12/20/2019 16:00:00,0.04
12/23/2019 16:00:00,0.05
12/24/2019 16:00:00,0.05
12/27/2019 16:00:00,0.06
12/30/2019 16:00:00,0.05
12/31/2019 16:00:00,0.06
1/2/2020 16:00:00,0.05
1/3/2020 16:00:00,0.06
1/6/2020 16:00:00,0.06
1/7/2020 16:00:00,0.05
1/8/2020 16:00:00,0.05
1/9/2020 16:00:00,0.04
1/10/2020 16:00:00,0.05
1/13/2020 16:00:00,0.04
1/15/2020 16:00:00,0.04
1/16/2020 16:00:00,0.04
1/17/2020 16:00:00,0.04
1/20/2020 16:00:00,0.05
1/21/2020 16:00:00,0.05
1/22/2020 16:00:00,0.05
1/23/2020 16:00:00,0.05
1/24/2020 16:00:00,0.05
1/27/2020 16:00:00,0.05
1/28/2020 16:00:00,0.04
1/29/2020 16:00:00,0.05
1/30/2020 16:00:00,0.05
1/31/2020 16:00:00,0.05
2/3/2020 16:00:00,0.05
2/4/2020 16:00:00,0.05
2/5/2020 16:00:00,0.05
2/6/2020 16:00:00,0.06
2/7/2020 16:00:00,0.07
2/10/2020 16:00:00,0.07
2/11/2020 16:00:00,0.06
2/12/2020 16:00:00,0.08
2/13/2020 16:00:00,0.08
2/14/2020 16:00:00,0.08
2/18/2020 16:00:00,0.06
2/19/2020 16:00:00,0.07
2/20/2020 16:00:00,0.06
2/21/2020 16:00:00,0.06
2/24/2020 16:00:00,0.07
2/25/2020 16:00:00,0.07
2/26/2020 16:00:00,0.06
2/27/2020 16:00:00,0.06
2/28/2020 16:00:00,0.06
3/2/2020 16:00:00,0.05
3/3/2020 16:00:00,0.06
3/4/2020 16:00:00,0.1
3/5/2020 16:00:00,0.1
3/6/2020 16:00:00,0.09
3/9/2020 16:00:00,0.07
3/10/2020 16:00:00,0.08
3/11/2020 16:00:00,0.07
3/12/2020 16:00:00,0.06
3/13/2020 16:00:00,0.07
3/16/2020 16:00:00,0.05
3/17/2020 16:00:00,0.05
3/18/2020 16:00:00,0.05
